"Prioridad","Negocio","Rubro","País","Email público","Teléfono público","Enlace de contacto","Ciudad / zona","Continente","Idioma sugerido","Qué ofrecer (hipótesis)","Situación web","Observación y validación pendiente","Alcance de revisión","Fuente consultada el","Estado contacto","Último contacto","Próximo seguimiento","Notas de seguimiento","ID","Fuente pública principal","Fuente complementaria"
"Revalidar","VetMovil.ecu","Veterinaria; posible especialidad en traumatología","Ecuador","vetmovil.ecu@gmail.com","+593 98 4389221","mailto:vetmovil.ecu@gmail.com","Quito","América","Español","Validar especialidad y proponer citas veterinarias.","Dos teléfonos para el mismo nombre y email.","Dos fichas muestran 098 438 9221 y 098 786 9206 con el mismo correo. Empezar por email y confirmar sede, teléfono y especialidad.","Índice de directorio","2026-09-23","No contactado","","","","GL-013","https://ec.todosnegocios.com/traumatolog%C3%ADa-y-ortopedia-veterinaria-098-438-9221","https://ec.todosnegocios.com/vetm-u-f-vil-ecu-098-786-9206"
"Revalidar","Bortan Fabrics Inc","Tienda de telas","Estados Unidos","—","+1 305-751-4550","tel:+13057514550","Miami","América","Inglés","Galería de telas y consultas de disponibilidad.","Base 10/09: No encontré web propia inequívoca","Revisión del 10/09/2026: Bortan Fabrics Inc aparece con el mismo teléfono y dirección en directorios de Miami. El enlace de sitio en Yellow Pages no identifica una web propia. La reseña sobre ausencia de web es antigua y no se usa como prueba actual. No se revisó un catálogo oficial.","Base anterior: revalidar","2026-09-10","No contactado","","","","GL-031","https://www.loc8nearme.com/florida/miami/bortan-fabrics-inc/8406682/","https://www.yellowpages.com/miami-fl/mip/bortan-fabrics-inc-6622535"
"Revalidar","Strong Plumbing","Plomería","Estados Unidos","—","+1 305-271-1777","tel:+13052711777","Miami","América","Inglés","Confirmar operación antes de cualquier propuesta.","Base 10/09: Actividad actual pendiente de confirmar","Revisión del 10/09/2026: Strong Plumbing aparece en directorios de Miami sin un sitio propio claramente identificado. Una fuente secundaria sobre contratistas contiene una alerta sobre el estado de una licencia; no se verificó en un registro oficial. No se puede concluir que opere, haya cerrado o carezca de habilitación.","Base anterior: revalidar","2026-09-10","No contactado","","","","GL-032","https://www.buildzoom.com/contractor/strong-plumbing-llc","https://www.yellowpages.com/miami-fl/mip/strong-plumbing-6322784"
"Revalidar","El Pueblito","Centro comercial de ropa al por mayor","Guatemala","—","+502 4646 4607 / +502 4063 6305","tel:+50246464607","Ciudad de Guatemala","América","Español","Directorio de locales, solo con administración identificada.","Base 10/09: Centro comercial; decisor por identificar","Revisión del 10/09/2026: El Pueblito de zona 1 es un centro comercial asociado a ropa al por mayor, no un restaurante ni una única tienda. Las referencias coinciden en ubicación y contactos. No se identificó una web propia clara, pero una sola persona podría no decidir por todos los locales.","Base anterior: revalidar","2026-09-10","No contactado","","","","GL-023","https://guate502.com/d/el-pueblito-zona-1-ciudad-de-guatemala/","https://es.cybo.com/GT-biz/el-pueblito"
"Revalidar","Restaurante El Montuno","Restaurante","Panamá","—","+507 224-9720 / +507 224-1316","tel:+5072249720","Ciudad de Panamá","América","Español","Carta digital, ubicación y consultas de pedidos.","Base 10/09: No encontré web propia inequívoca","Revisión del 10/09/2026: El Montuno de Vía Cincuentenario aparece en varias guías y en Facebook con el mismo teléfono. La presencia encontrada permite ubicar el restaurante, pero no se identificó una carta web propia. Horarios, menú y entrega deben confirmarse antes de publicarlos.","Base anterior: revalidar","2026-09-10","No contactado","","","","GL-022","https://www.facebook.com/pages/Restaurante-El-Montuno/247339918639676","https://es.cybo.com/PA-biz/restaurante-el-montuno"
"Revalidar","Colegio Nuestra Señora de la Asunción","Colegio","Paraguay","—","+595 21 290 917","tel:+59521290917","Asunción","América","Español","Confirmar institución y ofrecer página de admisiones.","Base 10/09: No encontré web propia inequívoca","Revisión del 10/09/2026: El colegio de Venezuela y Sargento Gauto aparece en un directorio con teléfono y Facebook. Existen instituciones con nombres similares; no se les atribuyeron sus sitios. No se pudo confirmar una web propia para esta sede ni su oferta educativa vigente.","Base anterior: revalidar","2026-09-10","No contactado","","","","GL-005","https://py.todosnegocios.com/colegio-nuestra-se%C3%B1ora-de-la-asunci%C3%B3n_4W-021-290-917",""
"Revalidar","Arthur Restaurant","Restaurante","Perú","—","+51 958 798 514","tel:+51958798514","Arequipa","América","Español","Validar ubicación y ofrecer carta y reservas bilingües.","Base 10/09: Dominio anterior citado; estado no confirmado","Revisión del 10/09/2026: Arthur Restaurant tiene presencia gastronómica y un perfil de Tripadvisor administrado por el negocio. Los directorios discrepan entre Pasaje Violín y Calle Cristal. arthurestaurant.com.pe figura como histórico en una fuente; no pude inspeccionarlo. No se puede declarar que su web está caída.","Base anterior: revalidar","2026-09-10","No contactado","","","","GL-010","https://www.tripadvisor.com.pe/Restaurant_Review-g294313-d1993325-Reviews-Arthur_Restaurant-Arequipa_Arequipa_Region.html","https://pe.todosnegocios.com/arthur-restaurant-958-798-514"
"Revalidar","Smartworld","Celulares / servicio técnico","República Dominicana","—","+1 809-732-9434 / +1 809-452-0601","tel:+18097329434","Santo Domingo","América","Español","Confirmar sucursal y separar ventas de reparaciones.","Base 10/09: Sin web confirmada; sede por validar","Revisión del 10/09/2026: Smartworld aparece asociado a celulares y servicio técnico. Las referencias localizadas no son uniformes sobre su ubicación; algunos datos coinciden por teléfono. No encontré una web propia inequívoca ni pude confirmar el alcance actual de reparación y venta.","Base anterior: revalidar","2026-09-10","No contactado","","","","GL-025","https://es.cybo.com/DO-biz/smartworld_1v",""
"Revalidar","Techno Shop","Tienda de celulares y tecnología","República Dominicana","—","+1 809-569-0000","tel:+18095690000","Santo Domingo","América","Español","Corregir portada y botones de una tienda que ya funciona.","Base 10/09: Web propia revisada: ajustes concretos","Revisión del 10/09/2026: Sí tiene tienda en technoshop.com.do. La portada conserva texto de plantilla en Serie Ultra; los botones Comprar ahora y Ver todos revisados enlazan al inicio. Los productos sí tienen consultas por WhatsApp. El pie muestra enlaces sociales con destino #. No necesita que le vendas una web desde cero.","Base anterior: revalidar","2026-09-10","No contactado","","","","GL-026","https://technoshop.com.do/","https://es.cybo.com/DO-biz/techno-shop"
"Revalidar","Montevideo Hostel","Hostel / alojamiento","Uruguay","mvdhostel@montevideohostel.com.uy","+598 2908 1324","mailto:mvdhostel@montevideohostel.com.uy","Montevideo","América","Español","Confirmar que opera; luego, consultas de reserva.","Base 10/09: Dominios históricos; operación por validar","Revisión del 10/09/2026: Montevideo Hostel aparece en referencias de alojamiento en Canelones 935. Distintas fuentes citan montevideohostel.com y montevideohostel.com.uy; no se pudieron inspeccionar de forma concluyente. Eso no prueba una caída. La actividad actual y la vigencia del correo requieren confirmación.","Base anterior: revalidar","2026-09-10","No contactado","","","","GL-004","https://www.fing.edu.uy/paginas/hostels-en-montevideo","https://uy.todosnegocios.com/montevideo-hostel-2908-1324"
"Revalidar","Que Ofertón","Informática / electrónica","Uruguay","—","+598 98 664 159","tel:+59898664159","Montevideo","América","Español","Ofertas y consultas por producto; validar dominio.","Base 10/09: Dominio anterior citado; estado no confirmado","Revisión del 10/09/2026: Que Ofertón publica productos de tecnología, contacto y redes en el directorio. queoferton.uy aparece como un dominio anterior, pero no se pudo verificar su estado directamente. No está demostrado que el negocio haya abandonado su web ni que carezca de otra.","Base anterior: revalidar","2026-09-10","No contactado","","","","GL-003","https://uy.todosnegocios.com/que-ofert%C3%B3n-098-664-159",""
"No priorizar","Centro de Atención Veterinaria / ExpressVet","Red privada de clínicas veterinarias","Ecuador","—","Usar el contacto de la sede Centro en la web oficial","https://www.expressvet.ec/","Quito","América","Español","No priorizar: ya cuenta con una web útil.","Base 10/09: Sí tiene web: no hay brecha clara de rediseño","Revisión del 10/09/2026: La búsqueda vincula el Centro de Atención Veterinaria y Bienestar Animal con ExpressVet. Su web presenta sedes, servicios, equipo y enlaces de contacto y ubicación. La clasificación anterior como veterinaria pública y sin web era incorrecta. No apareció un defecto claro que justifique venderle un rediseño.","Base anterior: revalidar","2026-09-10","No contactado","","","","GL-014","https://www.expressvet.ec/","https://ec.todosnegocios.com/centro-de-atenci%C3%B3n-veterinaria-y-099-569-9136"
"No priorizar","Sabores del Chorrillo","Complejo gastronómico con varios locales","Panamá","—","+507 6273-9561 (directorio; administración no confirmada)","tel:+50762739561","Ciudad de Panamá","América","Español","Dejar para una oportunidad institucional bien definida.","Base 10/09: Complejo institucional; no venta rápida","Revisión del 10/09/2026: Una publicación oficial de agosto de 2026 describe Sabores del Chorrillo como un espacio con varios negocios y participación municipal. No es un único restaurante. El teléfono de la primera lista no está confirmado como contacto actual de administración ni representa necesariamente a los comerciantes.","Base anterior: revalidar","2026-09-10","No contactado","","","","GL-021","https://www.despachoprimeradama.gob.pa/publicacion/primera-dama-visita-sabores-del-chorrillo-para-conocer-su-potencial-gastronomico-turistico-y-valorar-oportunidades-para-su-fortalecimiento-","https://www.todosbiz.com/PA/sabores-del-chorrillo_3J-6273-9561"
